Date;Open;High;Low;Close;Adj close;Volume
Aug 29, 2024;5607.30;5646.95;5583.71;5591.96;5591.96;3065640000
Aug 28, 2024;5624.51;5627.03;5560.95;5592.18;5592.18;3053450000
Aug 27, 2024;5602.89;5631.18;5593.48;5625.80;5625.80;2798990000
Aug 26, 2024;5639.66;5651.62;5602.34;5616.84;5616.84;2938570000
Aug 23, 2024;5602.49;5641.82;5585.16;5634.61;5634.61;3291940000
Aug 22, 2024;5637.77;5643.22;5560.95;5570.64;5570.64;2981530000
Aug 21, 2024;5603.09;5632.68;5591.57;5620.85;5620.85;3119670000
Aug 20, 2024;5602.88;5620.51;5585.50;5597.12;5597.12;2994420000
Aug 19, 2024;5557.23;5608.30;5550.74;5608.25;5608.25;3222050000
Aug 16, 2024;5530.50;5561.98;5525.17;5554.25;5554.25;3357690000
Aug 15, 2024;5501.13;5546.23;5501.13;5543.22;5543.22;3723310000
Aug 14, 2024;5442.36;5463.22;5415.91;5455.21;5455.21;3380050000
Aug 13, 2024;5376.98;5436.50;5376.98;5434.43;5434.43;3648980000
Aug 12, 2024;5351.88;5371.20;5324.37;5344.39;5344.39;3360160000
Aug 09, 2024;5314.66;5358.67;5300.84;5344.16;5344.16;3516400000
Aug 08, 2024;5252.57;5328.03;5233.85;5319.31;5319.31;4016830000
Aug 07, 2024;5293.13;5330.64;5195.54;5199.50;5199.50;4558260000
Aug 06, 2024;5206.42;5312.34;5193.56;5240.03;5240.03;4690190000
Aug 05, 2024;5151.14;5250.89;5119.26;5186.33;5186.33;5333250000
Aug 02, 2024;5376.63;5383.89;5302.03;5346.56;5346.56;5156450000
Aug 01, 2024;5537.84;5566.16;5410.42;5446.68;5446.68;4703620000
Jul 31, 2024;5505.59;5551.51;5493.75;5522.30;5522.30;4546910000
Jul 30, 2024;5478.73;5489.46;5401.70;5436.44;5436.44;3777740000
Jul 29, 2024;5476.55;5487.74;5444.44;5463.54;5463.54;3379970000
Jul 26, 2024;5433.67;5488.32;5430.70;5459.10;5459.10;3638770000
Jul 25, 2024;5428.70;5491.59;5390.95;5399.22;5399.22;4592120000
Jul 24, 2024;5505.84;5508.04;5419.98;5427.13;5427.13;3945550000
Jul 23, 2024;5565.30;5585.34;5550.90;5555.74;5555.74;3500210000
Jul 22, 2024;5544.54;5570.36;5529.04;5564.41;5564.41;3375180000
Jul 19, 2024;5543.37;5557.50;5497.04;5505.00;5505.00;3760570000
Jul 18, 2024;5608.56;5614.05;5522.81;5544.59;5544.59;4007510000
Jul 17, 2024;5610.07;5622.49;5584.81;5588.27;5588.27;4246450000
Jul 16, 2024;5644.09;5669.67;5639.02;5667.20;5667.20;4041760000
Jul 15, 2024;5638.16;5666.94;5614.75;5631.22;5631.22;3620470000
Jul 12, 2024;5590.76;5655.56;5590.44;5615.35;5615.35;3700280000
Jul 11, 2024;5635.21;5642.45;5576.53;5584.54;5584.54;4020950000
Jul 10, 2024;5591.26;5635.39;5586.44;5633.91;5633.91;3336100000
Jul 09, 2024;5584.24;5590.75;5574.57;5576.98;5576.98;3232920000
Jul 08, 2024;5572.75;5583.11;5562.51;5572.85;5572.85;3185670000
Jul 05, 2024;5537.91;5570.33;5531.63;5567.19;5567.19;3253080000
Jul 03, 2024;5507.44;5539.27;5507.42;5537.02;5537.02;2179470000
Jul 02, 2024;5461.84;5509.69;5458.43;5509.01;5509.01;3329950000
Jul 01, 2024;5471.08;5479.55;5446.53;5475.09;5475.09;3488760000
Jun 28, 2024;5488.48;5523.64;5451.12;5460.48;5460.48;7199220000
Jun 27, 2024;5473.59;5490.81;5467.54;5482.87;5482.87;3589530000
Jun 26, 2024;5460.71;5483.14;5451.87;5477.90;5477.90;3563920000
Jun 25, 2024;5460.73;5472.88;5446.56;5469.30;5469.30;3591960000
Jun 24, 2024;5459.58;5490.66;5447.59;5447.87;5447.87;3696750000
Jun 21, 2024;5466.77;5478.31;5452.03;5464.62;5464.62;6773800000
